ds,y,yhat,store,item
2017-10-03,18,20.92186256094292,1,1
2017-10-04,15,21.63890041422498,1,1
2017-10-05,20,22.228999571309775,1,1
2017-10-06,19,23.988375457469616,1,1
2017-10-07,22,25.7537306931562,1,1
2017-10-08,19,26.575743902032098,1,1
2017-10-09,9,18.38839525777837,1,1
2017-10-10,23,21.026171068918195,1,1
2017-10-11,14,21.692839293260516,1,1
2017-10-12,24,22.223509189262973,1,1
2017-10-13,23,23.91687133392801,1,1
2017-10-14,26,25.612372459365517,1,1
2017-10-15,28,26.363625130801452,1,1
2017-10-16,19,18.107647147172926,1,1
2017-10-17,17,20.68197530763346,1,1
2017-10-18,15,21.293347943938095,1,1
2017-10-19,26,21.77967202999914,1,1
2017-10-20,22,23.4421737272507,1,1
2017-10-21,26,25.122489397871533,1,1
2017-10-22,32,25.87599956792745,1,1
2017-10-23,20,17.641002989664347,1,1
2017-10-24,23,20.255777458335682,1,1
2017-10-25,22,20.927223480284226,1,1
2017-10-26,28,21.49280793497246,1,1
2017-10-27,20,23.25270751367339,1,1
2017-10-28,22,25.04690945422779,1,1
2017-10-29,29,25.92857208524268,1,1
2017-10-30,22,17.833241899163966,1,1
2017-10-31,24,20.595972924055005,1,1
2017-11-01,16,21.420043169874067,1,1
2017-11-02,21,22.138983565925074,1,1
2017-11-03,18,24.04881708423527,1,1
2017-11-04,34,25.985263171756515,1,1
2017-11-05,23,26.997207360573597,1,1
2017-11-06,17,19.016029953719613,1,1
2017-11-07,23,21.872836631284226,1,1
2017-11-08,14,22.76728280219024,1,1
2017-11-09,21,23.529704221507856,1,1
2017-11-10,19,25.453448804411575,1,1
2017-11-11,24,27.372162203051868,1,1
2017-11-12,27,28.33332473795598,1,1
2017-11-13,22,20.26763164487885,1,1
2017-11-14,16,23.00625794147091,1,1
2017-11-15,19,23.749698638789454,1,1
2017-11-16,22,24.329896190028617,1,1
2017-11-17,25,26.04254997259756,1,1
2017-11-18,31,27.724360734475603,1,1
2017-11-19,32,28.426508454035453,1,1
2017-11-20,21,20.083956905359386,1,1
2017-11-21,29,22.532628004678593,1,1
2017-11-22,27,22.97813883077701,1,1
2017-11-23,25,23.257815720252655,1,1
2017-11-24,22,24.672883018340848,1,1
2017-11-25,29,26.065582405216144,1,1
2017-11-26,24,26.49252436179859,1,1
2017-11-27,10,17.893868226726344,1,1
2017-11-28,14,20.110377041875594,1,1
2017-11-29,28,20.35204308080051,1,1
2017-11-30,15,20.460001263785525,1,1
2017-12-01,19,21.738630570260124,1,1
2017-12-02,16,23.03260155953172,1,1
2017-12-03,31,23.40017335848829,1,1
2017-12-04,7,14.782337918390768,1,1
2017-12-05,20,17.0198586108171,1,1
2017-12-06,17,17.321899427352037,1,1
2017-12-07,18,17.527961847800714,1,1
2017-12-08,17,18.940028842302954,1,1
2017-12-09,27,20.399672985073426,1,1
2017-12-10,20,20.96143044830771,1,1
2017-12-11,20,12.562036674146489,1,1
2017-12-12,13,15.037568429829271,1,1
2017-12-13,17,15.592185849164677,1,1
2017-12-14,14,16.060188637092153,1,1
2017-12-15,16,17.738282865327772,1,1
2017-12-16,15,19.462812230601084,1,1
2017-12-17,22,20.28325245001244,1,1
2017-12-18,19,12.131561592012616,1,1
2017-12-19,7,14.83942822020068,1,1
2017-12-20,16,15.607108370862928,1,1
2017-12-21,12,16.265563270387652,1,1
2017-12-22,6,18.108792318724678,1,1
2017-12-23,18,19.971113725383624,1,1
2017-12-24,19,20.900690439654092,1,1
2017-12-25,13,12.828893616243256,1,1
2017-12-26,16,15.587545422801288,1,1
2017-12-27,14,16.37773262342661,1,1
2017-12-28,19,17.031903725082927,1,1
2017-12-29,15,18.84614553500696,1,1
2017-12-30,27,20.65739323712209,1,1
2017-12-31,23,21.516873702151322,1,1
2017-10-03,55,59.49536105763566,5,10
2017-10-04,50,59.74718816758033,5,10
2017-10-05,64,63.09761694142481,5,10
2017-10-06,51,66.71898843425396,5,10
2017-10-07,69,69.57424979392606,5,10
2017-10-08,71,72.64270121234358,5,10
2017-10-09,48,50.11752671276975,5,10
2017-10-10,64,57.3156994634719,5,10
2017-10-11,64,57.62130902063812,5,10
2017-10-12,50,61.0505197736768,5,10
2017-10-13,64,64.77645301511006,5,10
2017-10-14,74,67.7624010528448,5,10
2017-10-15,62,70.98753268625127,5,10
2017-10-16,52,48.64439144130601,5,10
2017-10-17,58,56.048778545894464,5,10
2017-10-18,64,56.58306911648979,5,10
2017-10-19,59,60.26117163858098,5,10
2017-10-20,60,64.25342368764754,5,10
2017-10-21,82,67.51983252333231,5,10
2017-10-22,69,71.03581977274565,5,10
2017-10-23,36,48.9897711647279,5,10
2017-10-24,60,56.69298253940435,5,10
2017-10-25,57,57.52304953516157,5,10
2017-10-26,65,61.48890967583017,5,10
2017-10-27,63,65.75582818129078,5,10
2017-10-28,61,69.2787342844081,5,10
2017-10-29,72,73.0280652345743,5,10
2017-10-30,62,51.18741677852121,5,10
2017-10-31,61,59.06358908516113,5,10
2017-11-01,58,60.030073230352116,5,10
2017-11-02,77,64.0921847040008,5,10
