store,item,mean_demand,std_demand,min_demand,max_demand,safety_stock,reorder_point
1,1,19.971522453450163,6.7410222048141115,4,50,29.3,169.1
1,2,53.14895947426068,15.005779398454088,13,115,65.3,437.3
1,3,33.20810514786418,10.072529304963512,8,70,43.8,276.3
1,4,19.95618838992333,6.640617856680388,4,43,28.9,168.6
1,5,16.612814895947427,5.672102368390276,3,37,24.7,141.0
1,6,53.06078860898138,14.826415753312864,17,104,64.5,435.9
1,7,52.78368017524644,15.073837512491584,14,115,65.6,435.1
1,8,69.47207009857613,18.75197999518291,24,137,81.6,567.9
1,9,46.50492880613363,13.2474956152897,14,94,57.7,383.2
1,10,66.35432639649507,18.283007318668947,16,131,79.6,544.0
1,11,63.217962760131435,17.230416731004865,11,124,75.0,517.5
1,12,63.23384446878423,17.63687215477114,21,133,76.8,519.4
1,13,76.1593647316539,20.37485187592972,27,139,88.7,621.8
1,14,53.14895947426068,14.769971072823912,20,107,64.3,436.3
1,15,79.68072289156626,21.72579883545793,17,154,94.5,652.3
1,16,23.332420591456735,7.6147377184698835,5,55,33.1,196.5
1,17,29.97207009857612,9.11682399562141,9,61,39.7,249.5
1,18,76.34556407447974,21.0531089568771,28,155,91.6,626.0
1,19,36.67688937568455,11.10061986993504,11,75,48.3,305.0
1,20,42.89047097480832,12.181551157384636,11,87,53.0,353.2
1,21,36.1763417305586,10.840796057378665,9,74,47.2,300.4
1,22,72.78148959474261,19.808007435050463,25,143,86.2,595.7
1,23,26.46987951807229,8.46073423328603,5,55,36.8,222.1
1,24,60.0,16.642839589115844,18,121,72.4,492.4
1,25,72.73603504928806,19.7993879647175,24,143,86.2,595.3
1,26,43.23603504928806,12.848906331450442,12,96,55.9,358.6
1,27,20.05093099671413,6.640278233867997,1,48,28.9,169.3
1,28,79.56681270536693,21.460002283316964,32,155,93.4,650.4
1,29,63.08652792990142,17.27708639482617,19,124,75.2,516.8
1,30,36.31818181818182,10.938035594429484,13,72,47.6,301.8
1,31,53.008214676889374,14.95400943678759,15,106,65.1,436.1
1,32,39.83789704271632,11.464107598378614,13,81,49.9,328.8
1,33,62.75575027382256,17.178148984470695,23,123,74.8,514.0
1,34,23.274917853231106,7.499406049090722,5,48,32.6,195.6
1,35,59.49507119386637,16.482759039571405,20,115,71.7,488.2
1,36,69.30996714129245,19.17064763482564,24,151,83.4,568.6
1,37,26.424424972617743,8.312725700591358,8,62,36.2,221.1
1,38,73.34446878422781,19.948156493046685,19,150,86.8,600.2
1,39,39.69496166484118,11.78345935314825,13,86,51.3,329.1
1,40,26.44359255202629,8.20880549710112,7,57,35.7,220.8
1,41,20.00273822562979,6.684883224925373,3,42,29.1,169.1
1,42,33.10569550930997,9.623902912510417,7,71,41.9,273.6
1,43,46.24260679079956,13.34510376975674,15,98,58.1,381.8
1,44,26.59419496166484,8.364186487527249,7,58,36.4,222.6
1,45,72.72070098576123,19.7303404146561,25,135,85.9,594.9
1,46,52.84501642935378,14.93241650978328,15,109,65.0,434.9
1,47,19.81434830230011,6.554390521574377,4,44,28.5,167.2
1,48,46.5460021905805,13.416420848807777,13,94,58.4,384.2
1,49,26.461664841182913,8.29919344286707,7,53,36.1,221.3
1,50,59.34282584884995,16.380064579440493,19,111,71.3,486.7
2,1,28.173603504928806,8.6810127459478,6,58,37.8,235.0
2,2,75.31653888280394,20.33226790341633,26,150,88.5,615.7
2,3,46.99233296823658,13.546306025549484,16,94,59.0,387.9
2,4,28.234939759036145,8.655292492651848,7,66,37.7,235.3
2,5,23.54052573932092,7.757471028920607,3,50,33.8,198.5
2,6,74.94523548740416,20.31921317035493,24,148,88.4,613.0
2,7,75.05859802847755,20.456364920469728,28,139,89.0,614.4
2,8,99.09036144578312,26.278863743512723,35,181,114.4,808.0
2,9,65.47809419496167,18.191487152079485,21,127,79.2,537.5
2,10,94.0974808324206,24.92727667470801,33,175,108.5,767.2
2,11,89.30996714129245,24.163105109792117,37,167,105.2,730.3
2,12,89.35049288061336,24.078885021248897,26,170,104.8,730.2
2,13,107.90306681270536,28.47970527423545,38,210,123.9,879.3
2,14,75.35980284775465,20.077174520540325,25,152,87.4,614.9
2,15,112.578860898138,29.676051356715117,44,231,129.1,917.2
2,16,32.95016429353779,9.843778786366071,8,68,42.8,273.5
